"name","high","ts","hour"
"BYND","104.70999908447266","2021-05-11 09:55:00-04:00","9"
"BYND","106.46099853515625","2021-05-11 10:55:00-04:00","10"
"BYND","107.69499969482422","2021-05-11 11:55:00-04:00","11"
"BYND","108.83999633789062","2021-05-11 12:55:00-04:00","12"
"BYND","110.66000366210938","2021-05-11 13:45:00-04:00","13"
"BYND","110.69999694824219","2021-05-11 14:45:00-04:00","14"
"BYND","110.68000030517578","2021-05-11 15:30:00-04:00","15"
"DDOG","77.04000091552734","2021-05-11 09:55:00-04:00","9"
"DDOG","77.4800033569336","2021-05-11 10:20:00-04:00","10"
"DDOG","78.61000061035156","2021-05-11 11:45:00-04:00","11"
"DDOG","78.56500244140625","2021-05-11 12:00:00-04:00","12"
"DDOG","79.0999984741211","2021-05-11 13:40:00-04:00","13"
"DDOG","78.875","2021-05-11 14:25:00-04:00","14"
"DDOG","78.75","2021-05-11 15:50:00-04:00","15"
"FB","303.8599853515625","2021-05-11 09:55:00-04:00","9"
"FB","303.8699951171875","2021-05-11 10:00:00-04:00","10"
"FB","305.8399963378906","2021-05-11 11:35:00-04:00","11"
"FB","306.5893859863281","2021-05-11 12:05:00-04:00","12"
"FB","306.4599914550781","2021-05-11 13:40:00-04:00","13"
"FB","306.8299865722656","2021-05-11 14:25:00-04:00","14"
"FB","306.8399963378906","2021-05-11 15:25:00-04:00","15"
"NFLX","492.1199951171875","2021-05-11 09:55:00-04:00","9"
"NFLX","492.2749938964844","2021-05-11 10:00:00-04:00","10"
"NFLX","495.3291015625","2021-05-11 11:35:00-04:00","11"
"NFLX","495.9700012207031","2021-05-11 12:05:00-04:00","12"
"NFLX","496.82000732421875","2021-05-11 13:25:00-04:00","13"
"NFLX","497.989990234375","2021-05-11 14:25:00-04:00","14"
"NFLX","496.6700134277344","2021-05-11 15:25:00-04:00","15"
"OKTA","231.4600067138672","2021-05-11 09:50:00-04:00","9"
"OKTA","231.82000732421875","2021-05-11 10:00:00-04:00","10"
"OKTA","239.22999572753906","2021-05-11 11:50:00-04:00","11"
"OKTA","238.72999572753906","2021-05-11 12:15:00-04:00","12"
"OKTA","240.52999877929688","2021-05-11 13:20:00-04:00","13"
"OKTA","239.49989318847656","2021-05-11 14:25:00-04:00","14"
"OKTA","238.2100067138672","2021-05-11 15:15:00-04:00","15"
"PINS","58.779998779296875","2021-05-11 09:55:00-04:00","9"
"PINS","58.65999984741211","2021-05-11 10:05:00-04:00","10"
"PINS","59.4900016784668","2021-05-11 11:55:00-04:00","11"
"PINS","59.80500030517578","2021-05-11 12:15:00-04:00","12"
"PINS","60.029998779296875","2021-05-11 13:35:00-04:00","13"
"PINS","60.20000076293945","2021-05-11 14:50:00-04:00","14"
"PINS","60.34000015258789","2021-05-11 15:45:00-04:00","15"
"SHOP","1076.5799560546875","2021-05-11 09:55:00-04:00","9"
"SHOP","1076.5","2021-05-11 10:00:00-04:00","10"
"SHOP","1104.300048828125","2021-05-11 11:30:00-04:00","11"
"SHOP","1101.4000244140625","2021-05-11 12:00:00-04:00","12"
"SHOP","1117.989990234375","2021-05-11 13:45:00-04:00","13"
"SHOP","1116.0","2021-05-11 14:50:00-04:00","14"
"SHOP","1121.5899658203125","2021-05-11 15:20:00-04:00","15"
"SNAP","52.63999938964844","2021-05-11 09:55:00-04:00","9"
"SNAP","52.630001068115234","2021-05-11 10:00:00-04:00","10"
"SNAP","52.25","2021-05-11 11:55:00-04:00","11"
"SNAP","52.54999923706055","2021-05-11 12:00:00-04:00","12"
"SNAP","52.66999816894531","2021-05-11 13:35:00-04:00","13"
"SNAP","53.27000045776367","2021-05-11 14:50:00-04:00","14"
"SNAP","53.650001525878906","2021-05-11 15:45:00-04:00","15"
"SQ","215.50999450683594","2021-05-11 09:55:00-04:00","9"
"SQ","215.5","2021-05-11 10:00:00-04:00","10"
"SQ","219.94000244140625","2021-05-11 11:55:00-04:00","11"
"SQ","221.4730987548828","2021-05-11 12:10:00-04:00","12"
"SQ","221.77999877929688","2021-05-11 13:35:00-04:00","13"
"SQ","221.40499877929688","2021-05-11 14:30:00-04:00","14"
"SQ","221.0399932861328","2021-05-11 15:55:00-04:00","15"
"TTD","494.8399963378906","2021-05-11 09:40:00-04:00","9"
"TTD","490.8999938964844","2021-05-11 10:00:00-04:00","10"
"TTD","494.5","2021-05-11 11:50:00-04:00","11"
"TTD","491.44000244140625","2021-05-11 12:00:00-04:00","12"
"TTD","497.2200012207031","2021-05-11 13:35:00-04:00","13"
"TTD","508.6698913574219","2021-05-11 14:45:00-04:00","14"
"TTD","515.5313110351562","2021-05-11 15:50:00-04:00","15"
